,Percentage,Total,Female,Male
Total,100,81395541,39781629,41613912
Cairo,10.8,8762503,4308914,4453589
Alexandria,5.5,4508685,2205783,2302902
Port-Said,0.8,628440,308407,320033
Port-Said,0.8,628440,308407,320033
Damietta,1.5,1240184,606044,634140
Dakahlia,6.8,5559698,2736264,2823434
Sharkia,7.4,6010430,2927494,3082936
Kalyoubia,5.8,4754044,2308309,2445735
Kafr-El-Sheikh,3.6,2940030,1454187,1485843
Gharbia,5.4,4438420,2187857,2250563
Menoufia,4.5,3656839,1772640,1884199
Behera,6.5,5327554,2596250,2731304
Ismailia,1.3,1076586,528786,547800
Giza,8.6,6979675,3378402,3601273
Beni-Suef,3.2,2596633,1275027,1321606
Fayoum,3.5,2881792,1392172,1489620
Menia,5.8,4700358,2300803,2399555
Asyout,4.8,3888308,1903012,1985296
Suhag,5.2,4210651,2079828,2130823
Qena,3.4,2800373,1395668,1404705
Aswan,1.6,1322315,656651,665664
Luxor,1.3,1064123,521415,542708
Red Sea,0.4,320322,125741,194581
ElWadi ElGidid,0.3,208391,101311,107080
Matrouh,0.5,388608,184917,203691
North Sinai,0.5,395271,189947,205324
South Sinai,0.2,159029,53083,105946
