Total,Females,Males,Years
59313000,28961000,30352000,1996
59441000,29060000,30381000,1997
60706000,29653000,31053000,1998
61993000,30283000,31710000,1999
63305000,30912000,32393000,2000
64652000,31569000,33083000,2001
65986000,32220000,33766000,2002
67313000,32869000,34444000,2003
68648000,33543000,35105000,2004
69997000,34180000,35817000,2005
71348000,34839000,36509000,2006
72940000,35650000,37290000,2007
74439000,36400000,38039000,2008
76099000,37194000,38905000,2009
77840000,38045000,39795000,2010
79603000,38906000,40697000,2011
81396000,39782000,41614000,2012
